trial,state,value,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma
40,PRUNED,0.9186798582210907,0.00355500556527355,3,5,0.859275098897661,0.23034173210648856,0.009425089413366622,6.131214519995011,1.1581449885309913
41,COMPLETE,0.9188949203891887,0.005835147093839582,5,3,0.7619200430625557,0.28256597021250807,0.0029140686923453587,2.54144539206776,0.9399987059484552
42,COMPLETE,0.9189102909353237,0.004787126983706307,5,3,0.7797316213800588,0.27036930195333186,0.0023599517797442456,9.90372658125681,1.1966979929346213
43,PRUNED,0.9200927770304151,0.00459026720485621,5,4,0.7597289456225544,0.25386276256249446,0.0025686844249681712,1.5401000880167934,1.4506685546018512
44,PRUNED,0.9190799328913939,0.0030750508290406913,4,2,0.8051432825662588,0.28746879732194197,0.003546988165982404,4.230341050933607,1.191384532197966
45,COMPLETE,0.9189098203825623,0.0057961081947397585,5,3,0.7814573775803667,0.2369156202064981,0.0014400900001180132,2.48547303328596,1.5623577736570993
46,PRUNED,0.9200264578680972,0.005887359851319783,4,3,0.780468777933236,0.22288139049228964,0.0012761474032651227,0.002977427067173514,1.6889652622106688
47,PRUNED,0.9194074317465858,0.00538415883821904,5,1,0.8356857269499399,0.4822085916719294,0.002113827828368579,0.8440662457361396,1.6609608264869564
48,PRUNED,0.9201084547375471,0.004074949747267146,6,4,0.8929174622186665,0.2801965583894399,0.006747387664395412,2.4252522636414593,1.587020042688078
49,PRUNED,0.9192881417446659,0.07958467054730164,5,3,0.8606625123457997,0.22931492227056105,0.0016556070961676694,0.46951476504569434,1.3827578624338868
